ts,ts_iso,ip_ver,proto,src_ip,src_port,dst_ip,dst_port,frame_len,dns_len,dns_id,qr,opcode,aa,tc,rd,ra,ad,cd,rcode,qdcount,ancount,nscount,arcount,qname,qtype,qtype_name,qclass,edns,edns_udpsize,do,ecs,ecs_scope,answers
1788253200.0,2026-09-01T09:00:00Z,6,udp,2001:db8:1::120,3146,2001:db8:53::53,53,111,49,10931,0,0,0,0,0,0,0,0,0,1,0,0,1,hoST-332.pOrtal.tEst.,2,NS,1,1,1400.0,1,,,
1788253200.004157,2026-09-01T09:00:00.004157Z,6,udp,2001:db8:53::53,53,2001:db8:1::120,3146,231,169,10931,1,0,0,0,0,0,0,0,0,1,0,3,1,hoST-332.pOrtal.tEst.,2,NS,1,1,1232.0,1,,,
1788253200.106543,2026-09-01T09:00:00.106543Z,6,udp,2001:db8:1::14d,32011,2001:db8:53::53,53,111,49,49534,0,0,0,0,0,0,0,0,0,1,0,0,1,host-348.kampus.test.,28,AAAA,1,1,1232.0,1,,,
1788253200.112457,2026-09-01T09:00:00.112457Z,6,udp,2001:db8:53::53,53,2001:db8:1::14d,32011,111,49,49534,1,0,0,0,0,0,0,0,2,1,0,0,1,host-348.kampus.test.,28,AAAA,1,1,1232.0,1,,,
1788253200.519372,2026-09-01T09:00:00.519372Z,6,udp,2001:db8:1::112,14017,2001:db8:53::53,53,111,49,40238,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-261.PoRtAL.Test.,28,AAAA,1,1,1232.0,1,,,
1788253200.527108,2026-09-01T09:00:00.527108Z,6,udp,2001:db8:53::53,53,2001:db8:1::112,14017,139,77,40238,1,0,1,0,0,0,0,0,0,1,1,0,1,HoST-261.PoRtAL.Test.,28,AAAA,1,1,1232.0,1,,,HoST-261.PoRtAL.Test. AAAA 300 2001:db8:abcd::10
1788253200.540749,2026-09-01T09:00:00.540749Z,4,udp,192.0.2.85,38081,198.51.100.53,53,91,49,32057,0,0,0,0,0,0,0,0,0,1,0,0,1,hoSt-057.PoRTAl.teSt.,28,AAAA,1,1,1232.0,0,,,
1788253200.550064,2026-09-01T09:00:00.550064Z,4,udp,198.51.100.53,53,192.0.2.85,38081,251,209,32057,1,0,0,0,0,0,0,0,0,1,0,4,1,hoSt-057.PoRTAl.teSt.,28,AAAA,1,1,1232.0,0,,,
1788253200.651465,2026-09-01T09:00:00.651465Z,6,udp,2001:db8:1::12b,10341,2001:db8:53::53,53,110,48,8509,0,0,0,0,0,0,0,0,0,1,0,0,1,host-004.arsip.test.,28,AAAA,1,1,1400.0,1,,,
1788253200.654966,2026-09-01T09:00:00.654966Z,6,udp,2001:db8:53::53,53,2001:db8:1::12b,10341,138,76,8509,1,0,1,0,0,0,0,0,0,1,1,0,1,host-004.arsip.test.,28,AAAA,1,1,1232.0,1,,,host-004.arsip.test. AAAA 300 2001:db8:abcd::10
1788253200.792373,2026-09-01T09:00:00.792373Z,6,udp,2001:db8:1::99,34053,2001:db8:53::53,53,111,49,52782,0,0,0,0,0,0,0,0,0,1,0,0,1,HOst-001.PoRTAL.Test.,15,MX,1,1,1400.0,1,,,
1788253200.802122,2026-09-01T09:00:00.802122Z,6,udp,2001:db8:53::53,53,2001:db8:1::99,34053,145,83,52782,1,0,1,0,0,0,0,0,0,1,1,0,1,HOst-001.PoRTAL.Test.,15,MX,1,1,1232.0,1,,,HOst-001.PoRTAL.Test. MX 300 10 mail.example.test.
1788253200.910363,2026-09-01T09:00:00.910363Z,6,udp,2001:db8:1::18a,56602,2001:db8:53::53,53,112,50,15056,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-006.laYANan.Test.,1,A,1,1,1232.0,0,,,
1788253200.91428,2026-09-01T09:00:00.914280Z,6,udp,2001:db8:53::53,53,2001:db8:1::18a,56602,192,130,15056,1,0,0,0,0,0,0,0,0,1,0,2,1,HoST-006.laYANan.Test.,1,A,1,1,1232.0,0,,,
1788253201.505458,2026-09-01T09:00:01.505458Z,6,udp,2001:db8:1::52,26921,2001:db8:53::53,53,111,49,12992,0,0,0,0,1,0,0,0,0,1,0,0,1,host-007.kampus.test.,16,TXT,1,1,1232.0,1,,,
1788253201.509128,2026-09-01T09:00:01.509128Z,6,udp,2001:db8:53::53,53,2001:db8:1::52,26921,111,49,12992,1,0,0,0,1,0,0,0,2,1,0,0,1,host-007.kampus.test.,16,TXT,1,1,1232.0,1,,,
1788253201.749012,2026-09-01T09:00:01.749012Z,4,udp,192.0.2.239,56549,198.51.100.53,53,90,48,39,0,0,0,0,0,0,0,0,0,1,0,0,1,host-389.arsip.test.,28,AAAA,1,1,1232.0,1,,,
1788253201.754253,2026-09-01T09:00:01.754253Z,4,udp,198.51.100.53,53,192.0.2.239,56549,170,128,39,1,0,0,0,0,0,0,0,0,1,0,2,1,host-389.arsip.test.,28,AAAA,1,1,1232.0,1,,,
1788253201.851004,2026-09-01T09:00:01.851004Z,4,udp,192.0.2.234,61462,198.51.100.53,53,91,49,49577,0,0,0,0,0,0,0,1,0,1,0,0,1,host-001.portal.test.,2,NS,1,1,1232.0,1,,,
1788253201.859603,2026-09-01T09:00:01.859603Z,4,udp,198.51.100.53,53,192.0.2.234,61462,121,79,49577,1,0,1,0,0,0,0,1,0,1,1,0,1,host-001.portal.test.,2,NS,1,1,1232.0,1,,,host-001.portal.test. NS 300 ns1.example.test.
1788253202.013097,2026-09-01T09:00:02.013097Z,6,udp,2001:db8:1::53,40529,2001:db8:53::53,53,111,49,30877,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-363.pORtAL.Test.,43,DS,1,1,1400.0,0,,,
1788253202.016335,2026-09-01T09:00:02.016335Z,6,udp,2001:db8:53::53,53,2001:db8:1::53,40529,231,169,30877,1,0,0,0,0,0,0,0,0,1,0,3,1,HoST-363.pORtAL.Test.,43,DS,1,1,1232.0,0,,,
1788253202.104504,2026-09-01T09:00:02.104504Z,4,udp,192.0.2.30,53276,198.51.100.53,53,104,62,15890,0,0,0,0,0,0,0,0,0,1,0,0,1,_service._tcp.HOst-009.ArSiP.TESt.,33,SRV,1,1,1232.0,0,,,
1788253202.121342,2026-09-01T09:00:02.121342Z,4,udp,198.51.100.53,53,192.0.2.30,53276,184,142,15890,1,0,0,0,0,0,0,0,0,1,0,2,1,_service._tcp.HOst-009.ArSiP.TESt.,33,SRV,1,1,1232.0,0,,,
1788253202.237981,2026-09-01T09:00:02.237981Z,4,udp,192.0.2.21,65391,198.51.100.53,53,91,49,27096,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-000.COntoH.tEsT.,1,A,1,1,1232.0,1,,,
1788253202.240424,2026-09-01T09:00:02.240424Z,6,udp,2001:db8:1::eb,21455,2001:db8:53::53,53,111,49,28637,0,0,0,0,0,0,0,0,0,1,0,0,1,host-020.kampus.test.,1,A,1,1,1232.0,1,,,
1788253202.24187,2026-09-01T09:00:02.241870Z,4,udp,198.51.100.53,53,192.0.2.21,65391,211,169,27096,1,0,0,0,0,0,0,0,0,1,0,3,1,HoST-000.COntoH.tEsT.,1,A,1,1,1232.0,1,,,
1788253202.242758,2026-09-01T09:00:02.242758Z,6,udp,2001:db8:53::53,53,2001:db8:1::eb,21455,231,169,28637,1,0,0,0,0,0,0,0,0,1,0,3,1,host-020.kampus.test.,1,A,1,1,1232.0,1,,,
1788253202.36964,2026-09-01T09:00:02.369640Z,6,udp,2001:db8:1::1a4,59774,2001:db8:53::53,53,111,49,24673,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-095.kAMpUs.tEsT.,1,A,1,1,1232.0,1,,,
1788253202.378516,2026-09-01T09:00:02.378516Z,6,udp,2001:db8:53::53,53,2001:db8:1::1a4,59774,271,209,24673,1,0,0,0,0,0,0,0,0,1,0,4,1,HoST-095.kAMpUs.tEsT.,1,A,1,1,1232.0,1,,,
1788253202.401463,2026-09-01T09:00:02.401463Z,4,udp,192.0.2.35,53324,198.51.100.53,53,91,49,40951,0,0,0,0,0,0,0,0,0,1,0,0,1,hOsT-002.cONtoH.tEST.,1,A,1,1,1232.0,1,,,
1788253202.420256,2026-09-01T09:00:02.420256Z,4,udp,198.51.100.53,53,192.0.2.35,53324,171,129,40951,1,0,0,0,0,0,0,0,0,1,0,2,1,hOsT-002.cONtoH.tEST.,1,A,1,1,1232.0,1,,,
1788253202.46319,2026-09-01T09:00:02.463190Z,6,udp,2001:db8:1::125,46687,2001:db8:53::53,53,126,64,16366,0,0,0,0,0,0,0,0,0,1,0,0,1,_service._tcp.host-047.layanan.test.,33,SRV,1,1,1232.0,1,,,
1788253202.467287,2026-09-01T09:00:02.467287Z,4,udp,192.0.2.132,10590,198.51.100.53,53,90,48,61963,0,0,0,0,1,0,0,0,0,1,0,0,1,hoST-086.arSIP.tEst.,28,AAAA,1,1,1232.0,1,,,
1788253202.472381,2026-09-01T09:00:02.472381Z,6,udp,2001:db8:53::53,53,2001:db8:1::125,46687,246,184,16366,1,0,0,0,0,0,0,0,0,1,0,3,1,_service._tcp.host-047.layanan.test.,33,SRV,1,1,1232.0,1,,,
1788253202.476053,2026-09-01T09:00:02.476053Z,4,udp,198.51.100.53,53,192.0.2.132,10590,170,128,61963,1,0,0,0,1,0,0,0,0,1,0,2,1,hoST-086.arSIP.tEst.,28,AAAA,1,1,1232.0,1,,,
1788253202.665849,2026-09-01T09:00:02.665849Z,6,udp,2001:db8:1::16f,23754,2001:db8:53::53,53,112,50,45954,0,0,0,0,0,0,0,0,0,1,0,0,1,host-066.layanan.test.,43,DS,1,1,1232.0,1,,,
1788253202.681263,2026-09-01T09:00:02.681263Z,6,udp,2001:db8:53::53,53,2001:db8:1::16f,23754,192,130,45954,1,0,0,0,0,0,0,0,0,1,0,2,1,host-066.layanan.test.,43,DS,1,1,1232.0,1,,,
1788253202.687732,2026-09-01T09:00:02.687732Z,6,udp,2001:db8:1::138,23589,2001:db8:53::53,53,111,49,11659,0,0,0,0,0,0,0,0,0,1,0,0,1,host-003.pORtal.TesT.,48,DNSKEY,1,1,1232.0,1,,,
1788253202.689489,2026-09-01T09:00:02.689489Z,6,udp,2001:db8:53::53,53,2001:db8:1::138,23589,231,169,11659,1,0,0,0,0,0,0,0,0,1,0,3,1,host-003.pORtal.TesT.,48,DNSKEY,1,1,1232.0,1,,,
1788253202.799075,2026-09-01T09:00:02.799075Z,6,udp,2001:db8:1::ff,16014,2001:db8:53::53,53,111,49,25183,0,0,0,0,0,0,0,0,0,1,0,0,1,host-002.contoh.test.,28,AAAA,1,1,1400.0,1,,,
1788253202.800692,2026-09-01T09:00:02.800692Z,6,udp,2001:db8:53::53,53,2001:db8:1::ff,16014,111,49,25183,1,0,0,0,0,0,0,0,5,1,0,0,1,host-002.contoh.test.,28,AAAA,1,1,1232.0,1,,,
1788253202.890445,2026-09-01T09:00:02.890445Z,6,udp,2001:db8:1::130,59976,2001:db8:53::53,53,111,49,17038,0,0,0,0,0,0,0,0,0,1,0,0,1,host-050.portal.test.,28,AAAA,1,1,1232.0,1,,,
1788253202.89342,2026-09-01T09:00:02.893420Z,6,udp,2001:db8:53::53,53,2001:db8:1::130,59976,191,129,17038,1,0,0,0,0,0,0,0,0,1,0,2,1,host-050.portal.test.,28,AAAA,1,1,1232.0,1,,,
1788253203.105309,2026-09-01T09:00:03.105309Z,6,udp,2001:db8:1::17a,41546,2001:db8:53::53,53,111,49,3665,0,0,0,0,0,0,0,0,0,1,0,0,1,host-002.contoh.test.,28,AAAA,1,1,1232.0,1,,,
1788253203.107132,2026-09-01T09:00:03.107132Z,6,udp,2001:db8:53::53,53,2001:db8:1::17a,41546,191,129,3665,1,0,0,0,0,0,0,0,0,1,0,2,1,host-002.contoh.test.,28,AAAA,1,1,1232.0,1,,,
1788253203.62563,2026-09-01T09:00:03.625630Z,6,tcp,2001:db8:1::89,43579,2001:db8:53::53,53,125,49,27648,0,0,0,0,0,0,0,0,0,1,0,0,1,host-381.kampus.test.,1,A,1,1,1232.0,1,,,
1788253203.636056,2026-09-01T09:00:03.636056Z,6,tcp,2001:db8:53::53,53,2001:db8:1::89,43579,141,65,27648,1,0,1,0,0,0,0,0,0,1,1,0,1,host-381.kampus.test.,1,A,1,1,1232.0,1,,,host-381.kampus.test. A 300 203.0.113.10
1788253203.990272,2026-09-01T09:00:03.990272Z,6,udp,2001:db8:1::10b,34380,2001:db8:53::53,53,111,49,3816,0,0,0,0,0,0,0,0,0,1,0,0,1,HoST-052.ConTOH.TeSt.,15,MX,1,1,1232.0,1,,,
1788253204.023536,2026-09-01T09:00:04.023536Z,6,udp,2001:db8:53::53,53,2001:db8:1::10b,34380,145,83,3816,1,0,1,0,0,0,0,0,0,1,1,0,1,HoST-052.ConTOH.TeSt.,15,MX,1,1,1232.0,1,,,HoST-052.ConTOH.TeSt. MX 300 10 mail.example.test.
1788253204.10779,2026-09-01T09:00:04.107790Z,4,udp,192.0.2.117,37572,198.51.100.53,53,92,50,33923,0,0,0,0,0,0,0,0,0,1,0,0,1,host-059.layanan.test.,1,A,1,1,1400.0,1,,,
1788253204.110304,2026-09-01T09:00:04.110304Z,4,udp,198.51.100.53,53,192.0.2.117,37572,92,50,33923,1,0,0,0,0,0,0,0,2,1,0,0,1,host-059.layanan.test.,1,A,1,1,1232.0,1,,,
1788253204.429396,2026-09-01T09:00:04.429396Z,6,udp,2001:db8:1::44,51188,2001:db8:53::53,53,111,49,9648,0,0,0,0,0,0,0,0,0,1,0,0,1,HOST-000.conTOh.tEst.,2,NS,1,1,1232.0,0,,,
1788253204.444947,2026-09-01T09:00:04.444947Z,6,udp,2001:db8:53::53,53,2001:db8:1::44,51188,141,79,9648,1,0,1,0,0,0,0,0,0,1,1,0,1,HOST-000.conTOh.tEst.,2,NS,1,1,1232.0,0,,,HOST-000.conTOh.tEst. NS 300 ns1.example.test.
1788253204.47755,2026-09-01T09:00:04.477550Z,4,udp,192.0.2.30,24340,198.51.100.53,53,91,49,27319,0,0,0,0,0,0,0,0,0,1,0,0,1,host-001.PortAL.TEsT.,1,A,1,1,1232.0,1,,,
1788253204.482112,2026-09-01T09:00:04.482112Z,4,udp,198.51.100.53,53,192.0.2.30,24340,251,209,27319,1,0,0,0,0,0,0,0,0,1,0,4,1,host-001.PortAL.TEsT.,1,A,1,1,1232.0,1,,,
1788253204.517591,2026-09-01T09:00:04.517591Z,4,udp,192.0.2.95,24189,198.51.100.53,53,80,38,45899,0,0,0,0,0,0,0,0,0,1,0,0,0,host-021.contoh.test.,43,DS,1,0,,0,,,
1788253204.522437,2026-09-01T09:00:04.522437Z,4,udp,198.51.100.53,53,192.0.2.95,24189,160,118,45899,1,0,0,0,0,0,0,0,0,1,0,2,0,host-021.contoh.test.,43,DS,1,0,,0,,,
1788253204.556445,2026-09-01T09:00:04.556445Z,6,udp,2001:db8:1::140,49237,2001:db8:53::53,53,112,50,33921,0,0,0,0,0,0,0,1,0,1,0,0,1,hoST-016.lAyAnAN.tesT.,28,AAAA,1,1,1232.0,1,,,
1788253204.559259,2026-09-01T09:00:04.559259Z,6,udp,2001:db8:53::53,53,2001:db8:1::140,49237,232,170,33921,1,0,0,0,0,0,0,1,0,1,0,3,1,hoST-016.lAyAnAN.tesT.,28,AAAA,1,1,1232.0,1,,,
1788253204.702419,2026-09-01T09:00:04.702419Z,6,udp,2001:db8:1::1ad,30441,2001:db8:53::53,53,110,48,22837,0,0,0,0,0,0,0,0,0,1,0,0,1,host-005.arsip.test.,1,A,1,1,1232.0,1,,,
1788253204.705706,2026-09-01T09:00:04.705706Z,6,udp,2001:db8:53::53,53,2001:db8:1::1ad,30441,190,128,22837,1,0,0,0,0,0,0,0,0,1,0,2,1,host-005.arsip.test.,1,A,1,1,1232.0,1,,,
1788253204.811344,2026-09-01T09:00:04.811344Z,6,udp,2001:db8:1::41,31352,2001:db8:53::53,53,111,49,21713,0,0,0,0,0,0,0,0,0,1,0,0,1,host-192.contoh.test.,2,NS,1,1,1232.0,1,,,
1788253204.846653,2026-09-01T09:00:04.846653Z,6,udp,2001:db8:53::53,53,2001:db8:1::41,31352,141,79,21713,1,0,1,0,0,0,0,0,0,1,1,0,1,host-192.contoh.test.,2,NS,1,1,1232.0,1,,,host-192.contoh.test. NS 300 ns1.example.test.
